original_Line Code,original_Direction,original_Stop Code,original_Stop ID,original_Chinese Name,original_English Name,original_Sequence,lat,lon,formatted,name,street,postcode,suburb,city,county,state,country,country_code,confidence,attribution,attribution_license,attribution_url
615P,2,LUM,30,龍門,Lung Mun,12,22.38527973,113.9649881,"Lung Mun Road, San Shek Wan, Tuen Mun District, Hong Kong, China",Lung Mun,Lung Mun Road,,San Shek Wan,Tsing Shan Tsuen,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
615P,2,LRD,20,輕鐵車廠,Light Rail Depot,13,22.38177364,113.9633097,"Light Rail Depot, Lung Mun Road, San Shek Wan, Tuen Mun District, Hong Kong, China",Light Rail Depot,Lung Mun Road,,San Shek Wan,Tsing Shan Tsuen,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
615P,2,BUT,15,蝴蝶,Butterfly,14,22.37811604,113.9617286,"Butterfly, Lung Mun Road, Butterfly Beach, Tuen Mun District, Hong Kong, China",Butterfly,Lung Mun Road,,Butterfly Beach,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
615P,2,MEG,10,美樂,Melody Garden,15,22.37507038,113.9611127,"Melody Garden, Wu Chui Road, Butterfly Beach, Tuen Mun District, Hong Kong, China",Melody Garden,Wu Chui Road,,Butterfly Beach,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
610,1,AFF,80,澤豐,Affluence,13,22.40392457,113.9760435,"Affluence, San Wo Lane, Tuen Mun Central, Tuen Mun District, Hong Kong, China",Affluence,San Wo Lane,,Tuen Mun Central,Kau Hui Village,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
610,1,TMH,90,屯門醫院,Tuen Mun Hospital,14,22.40774111,113.9772016,"Tuen Mun Hospital, Fung Tei Bridge, Tuen Mun North, Tuen Mun District, Hong Kong, China",Tuen Mun Hospital,Fung Tei Bridge,,Tuen Mun North,Kei Lun Wai,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
610,1,LTE,350,藍地,Lam Tei,16,22.41722599,113.9811363,"Lam Tei, Castle Peak Road – Lam Tei, Tuen Mun San Tsuen, Tuen Mun District, Hong Kong, China",Lam Tei,Castle Peak Road – Lam Tei,,Tuen Mun San Tsuen,Nai Wai Village,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
610,1,NAW,360,泥圍,Nai Wai,17,22.4238581,113.9866093,"Nai Wai, Castle Peak Road – Lam Tei, Lam Tei, Tuen Mun District, Hong Kong, China",Nai Wai,Castle Peak Road – Lam Tei,,Lam Tei,Nai Wai Village,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
610,1,CUT,370,鍾屋村,Chung Uk Tsuen,18,22.42969023,113.992185,"Chung Uk Tsuen, Castle Peak Road – Hung Shui Kiu, Tin Sum San Tsuen, Tuen Mun District, Hong Kong, China",Chung Uk Tsuen,Castle Peak Road – Hung Shui Kiu,,Tin Sum San Tsuen,Yick Yuen,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
610,1,HSK,380,洪水橋,Hung Shui Kiu,19,22.43369415,113.9974199,"Hung Shui Kiu, Castle Peak Road – Hung Shui Kiu, Hung Shui Kiu, Yuen Long District, Hong Kong, China",Hung Shui Kiu,Castle Peak Road – Hung Shui Kiu,,Hung Shui Kiu,Tin Sum Village,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
610,1,TOF,390,塘坊村,Tong Fong Tsuen,20,22.44011212,114.0070628,"Tong Fong Tsuen, Castle Peak Road – Ping Shan, Ping Shan, Yuen Long District, Hong Kong, China",Tong Fong Tsuen,Castle Peak Road – Ping Shan,,Ping Shan,Tong Fong Tsuen,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
610,1,PIS,400,屏山,Ping Shan,21,22.44280447,114.0117693,"Ping Shan, Castle Peak Road – Ping Shan, Fung Chi Tsuen, Yuen Long District, Hong Kong, China",Ping Shan,Castle Peak Road – Ping Shan,,Fung Chi Tsuen,Tong Yan San Tsuen,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
