original_Line Code,original_Direction,original_Station Code,original_Station ID,original_Chinese Name,original_name,original_Sequence,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,county_code,city,county,state_code,state,country,country_code,confidence,attribution,attribution_license,attribution_url
TCL,DT,TUC,43,東涌,Tung Chung,1,22.28925499,113.9414358,"Tung Chung, Tat Tung Road, Tung Chung Town Centre, Islands District, Hong Kong, China",Tung Chung,,Tat Tung Road,,,Tung Chung Town Centre,,Tung Chung,Islands District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TCL,DT,LAK,21,茘景,Lai King,4,22.34840606,114.126161,"Lai King, Tsuen Wan Road, Ha Kwai Chung, Kwai Tsing District, Hong Kong, China",Lai King,,Tsuen Wan Road,,,Ha Kwai Chung,,Kwai Chung,Kwai Tsing District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TCL,DT,OLY,41,奧運,Olympic,6,22.31786933,114.1601413,"Olympic, Cherry Street, Tai Kok Tsui, Hong Kong, China",Olympic,,Cherry Street,,Yau Tsim Mong District,Tai Kok Tsui,,Kowloon,,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TKL,DT,POA,52,寶琳,Po Lam,1,22.32253083,114.2578535,"Po Lam, Mau Yip Road, Po Lam, Sai Kung District, Hong Kong, China",Po Lam,,Mau Yip Road,,,Po Lam,,Tseung Kwan O,Sai Kung District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TKL,DT,HAH,51,坑口,Hang Hau,2,22.31559634,114.2644071,"Kengkou, Huannan East Street, 510380 Guangdong Province, China",Kengkou,,Huannan East Street,510380,,,,Liwan District,,,Guangdong Province,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TKL,DT,TKO,50,將軍澳,Tseung Kwan O,3,22.30746823,114.2600149,"Junk Bay, Tseung Kwan O, Sai Kung District, China",Junk Bay,,,,Kwun Tong District,,,Tseung Kwan O,Sai Kung District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TKL,TKS-DT,LHP,57,康城,LOHAS Park,1,22.29632647,114.2695966,"LOHAS Park, Lohas Park Road, Siu Chik Sha, Sai Kung District, Hong Kong, China",LOHAS Park,,Lohas Park Road,,,Siu Chik Sha,,Tseung Kwan O,Sai Kung District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TWL,DT,TSW,25,荃灣,Tsuen Wan,1,22.37368002,114.1177175,"Tsuen Wan, Sai Lau Kok Road, Tsuen Wan Town Centre, Tsuen Wan District, Hong Kong, China",Tsuen Wan,,Sai Lau Kok Road,,,Tsuen Wan Town Centre,,Tsuen Wan,Tsuen Wan District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TWL,DT,TWH,24,大窩口,Tai Wo Hau,2,22.37079767,114.125069,"Tai Wo Hau, Castle Peak Road – Kwai Chung, Tsuen Wan East Industrial Area, Tsuen Wan District, Hong Kong, China",Tai Wo Hau,,Castle Peak Road – Kwai Chung,,,Tsuen Wan East Industrial Area,,Kwan Mun Hau Village,Tsuen Wan District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TWL,DT,KWH,23,葵興,Kwai Hing,3,22.36306616,114.1312307,"Kwai Hing, Hing Fong Road, Chung Kwai Chung, Kwai Tsing District, Hong Kong, China",Kwai Hing,,Hing Fong Road,,,Chung Kwai Chung,,Kwai Chung,Kwai Tsing District,,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
